"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"EROSMEDIA","EQ","06-Oct-2015","        502.05","        507.00","        513.50","        496.55","        501.00","        501.25","        507.26","     143718","            72902875.60","      11404","      67746","         47.14"
"EROSMEDIA","EQ","07-Oct-2015","        501.25","        501.95","        505.50","        489.00","        493.00","        490.65","        494.40","     150688","            74500824.60","      10991","      78483","         52.08"
"EROSMEDIA","EQ","08-Oct-2015","        490.65","        494.00","        496.70","        480.10","        481.00","        481.65","        485.78","     127700","            62034544.45","       7895","      66682","         52.22"
"EROSMEDIA","EQ","09-Oct-2015","        481.65","        489.50","        493.00","        476.00","        478.00","        478.60","        484.47","     155610","            75388398.20","       7235","      65828","         42.30"
"EROSMEDIA","EQ","12-Oct-2015","        478.60","        484.90","        487.70","        465.10","        474.00","        472.40","        475.28","     145567","            69185137.60","       6580","      74833","         51.41"
"EROSMEDIA","EQ","13-Oct-2015","        472.40","        475.00","        476.00","        452.00","        454.40","        454.05","        457.83","     348112","           159375539.40","      22372","     224905","         64.61"
"EROSMEDIA","EQ","14-Oct-2015","        454.05","        455.95","        465.00","        454.00","        460.30","        459.00","        460.18","     118987","            54755769.05","       6880","      56762","         47.70"
"EROSMEDIA","EQ","15-Oct-2015","        459.00","        460.50","        460.50","        440.70","        445.00","        445.15","        449.89","     176718","            79504463.30","       7353","      97484","         55.16"
"EROSMEDIA","EQ","16-Oct-2015","        445.15","        449.90","        475.80","        444.60","        457.00","        458.60","        465.55","     620830","           289025351.30","      30613","     319512","         51.47"
"EROSMEDIA","EQ","19-Oct-2015","        458.60","        460.70","        473.00","        459.50","        463.50","        462.80","        464.74","     199634","            92777631.20","       8778","      93755","         46.96"
"EROSMEDIA","EQ","20-Oct-2015","        462.80","        465.00","        471.00","        461.05","        467.50","        467.50","        466.63","     135877","            63404725.55","       4975","      64326","         47.34"
"EROSMEDIA","EQ","21-Oct-2015","        467.50","        465.00","        465.00","        451.25","        455.00","        454.25","        456.17","     144873","            66086131.65","       4188","      64127","         44.26"
"EROSMEDIA","EQ","23-Oct-2015","        454.25","        455.20","        462.35","        434.25","        436.80","        438.35","        444.05","     466544","           207167789.80","      19569","     305103","         65.40"
"EROSMEDIA","EQ","26-Oct-2015","        438.35","        413.40","        413.40","        350.70","        350.70","        353.60","        366.17","    4966148","          1818466404.05","      95020","    1176138","         23.68"
"EROSMEDIA","EQ","27-Oct-2015","        353.60","        372.00","        380.95","        364.00","        365.50","        366.20","        371.23","    2983693","          1107625160.20","      59139","     543259","         18.21"
"EROSMEDIA","EQ","28-Oct-2015","        366.20","        371.00","        380.80","        368.50","        372.45","        371.40","        374.56","     761138","           285088369.55","      13448","     233142","         30.63"
"EROSMEDIA","EQ","29-Oct-2015","        371.40","        367.90","        367.90","        343.20","        344.55","        345.40","        352.18","     756130","           266296076.80","      21482","     296741","         39.24"
"EROSMEDIA","EQ","30-Oct-2015","        345.40","        339.20","        339.20","        276.35","        276.35","        276.85","        296.84","    3905772","          1159396936.60","     102415","    1447607","         37.06"
"EROSMEDIA","EQ","02-Nov-2015","        276.85","        260.00","        264.00","        249.20","        249.20","        249.20","        250.56","     270450","            67762806.85","       3136","     213786","         79.05"
"EROSMEDIA","EQ","03-Nov-2015","        249.20","        269.80","        274.10","        237.65","        247.50","        244.35","        259.87","    9612416","          2497961751.75","     112723","    2269638","         23.61"
"EROSMEDIA","EQ","04-Nov-2015","        244.35","        252.00","        264.40","        249.00","        263.40","        262.15","        259.04","    3639089","           942687445.90","      67407","    1316995","         36.19"
"EROSMEDIA","EQ","05-Nov-2015","        262.15","        268.00","        274.95","        267.20","        273.00","        271.70","        271.13","    2109606","           571973002.80","      30526","     623320","         29.55"
"EROSMEDIA","EQ","06-Nov-2015","        271.70","        269.30","        281.00","        262.00","        272.45","        275.00","        272.15","    1732399","           471479253.75","      27035","     414960","         23.95"
"EROSMEDIA","EQ","09-Nov-2015","        275.00","        266.35","        288.80","        261.00","        276.60","        277.60","        280.72","    1841998","           517078418.20","      43211","     633593","         34.40"
"EROSMEDIA","EQ","10-Nov-2015","        277.60","        286.60","        291.90","        253.30","        257.20","        256.40","        272.46","    3125495","           851582149.45","      55301","    1096487","         35.08"
"EROSMEDIA","EQ","11-Nov-2015","        256.40","        261.40","        266.00","        257.00","        265.75","        263.85","        262.33","     345449","            90620771.75","       5534","     123997","         35.89"
